,tf_occurance,atri_degree_centrality,atri_out_centrality,atri_in_centrality,atri_betweenness_centrality,atri_closeness_centrality,atri_eigenvector_centrality,tri_degree_centrality,tri_out_centrality,tri_in_centrality,tri_betweenness_centrality,tri_closeness_centrality,tri_eigenvector_centrality,lrc_degree_centrality,lrc_out_centrality,lrc_in_centrality,lrc_betweenness_centrality,lrc_closeness_centrality,lrc_eigenvector_centrality,cor_degree_centrality,cor_out_centrality,cor_in_centrality,cor_betweenness_centrality,cor_closeness_centrality,cor_eigenvector_centrality,end_degree_centrality,end_out_centrality,end_in_centrality,end_betweenness_centrality,end_closeness_centrality,end_eigenvector_centrality,per_degree_centrality,per_out_centrality,per_in_centrality,per_betweenness_centrality,per_closeness_centrality,per_eigenvector_centrality,pro_degree_centrality,pro_out_centrality,pro_in_centrality,pro_betweenness_centrality,pro_closeness_centrality,pro_eigenvector_centrality,xyl_degree_centrality,xyl_out_centrality,xyl_in_centrality,xyl_betweenness_centrality,xyl_closeness_centrality,xyl_eigenvector_centrality,phl_degree_centrality,phl_out_centrality,phl_in_centrality,phl_betweenness_centrality,phl_closeness_centrality,phl_eigenvector_centrality,col_degree_centrality,col_out_centrality,col_in_centrality,col_betweenness_centrality,col_closeness_centrality,col_eigenvector_centrality
AXR3,8.0,0.7809798270893371,0.13544668587896252,0.6455331412103746,0.9945361563192351,0.0008515653609185385,0.1260015692203639,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.43015521064301554,0.024390243902439025,0.08430155210643016,0.0014745833900089184,0.12301232040073826,0.3022312373225152,0.004056795131845842,0.29817444219066935,0.0001442965748115899,0.0003158490470801907,0.1005866785143638,0.013293943870014771,0.011816838995568686,0.0014771048744460858,0.0005178607326090567,0.00020339171831269113,0.015246161156048908,0.04,0.005,0.035,0.8849734042553191,0.0004039422474312513,0.01721927113395548,0.4271523178807947,0.07450331125827815,0.3526490066225166,3.843915082424522e-05,0.0002865484229551396,0.1068744764738795,0.0,0.0,0.0,0.0,0.0,0.0,0.0057405281285878304,0.001148105625717566,0.004592422502870264,0.00018079364450954776,0.00012974459176799715,0.006055279300659719,0.7876857749469214,0.5902335456475584,0.19745222929936304,0.019943985183177484,0.0014164778385217282,0.11644417449647988
HB-7,6.0,0.18731988472622477,0.16714697406340057,0.020172910662824207,0.0,0.0007831215941379849,0.06742666164255595,0.10954063604240283,0.08833922261484099,0.021201413427561835,0.0035210385184071373,0.0009228121422718502,0.05708836995788123,0.0,0.0,0.0,0.0,0.0,0.0,0.6632860040567952,0.4645030425963489,0.19878296146044624,0.09651379475255199,0.00035512785345050103,0.13241217833732075,0.29542097488921715,0.09453471196454949,0.20088626292466766,0.0022309527763453457,0.00026835712330390066,0.11261251336425086,0.3725,0.15125,0.22125,0.3118100750938673,0.0005673153796713922,0.08801812884133355,0.25165562913907286,0.1456953642384106,0.10596026490066225,0.002921375462642637,0.0002745027512140807,0.07738926209287464,0.0,0.0,0.0,0.0,0.0,0.0,0.034443168771526984,0.022962112514351322,0.011481056257175661,0.002630085646040355,0.0002391847492384421,0.025527181910584788,0.06794055201698514,0.025477707006369428,0.04246284501061571,0.0,0.0006447160899105837,0.023648315605240517
RAV1,6.0,0.4726224783861671,0.1930835734870317,0.2795389048991354,0.6033216171644651,0.0007660186418762379,0.10581265304591653,0.20494699646643108,0.038869257950530034,0.16607773851590105,0.6138636192767462,0.0010675112758970241,0.08700744160769974,0.07095343680709534,0.04878048780487805,0.022172949002217293,9.854644000985464e-06,0.0011884603652540973,0.03741698612596427,0.028397565922920892,0.02028397565922921,0.008113590263691683,0.0,0.00024951686312027623,0.01681685237440372,0.014771048744460858,0.011816838995568686,0.0029542097488921715,0.0,0.00022288488855428531,0.015038916483313318,0.15125,0.0425,0.10875,0.0,0.0004371907882730343,0.05189307726423376,0.06788079470198675,0.048013245033112585,0.019867549668874173,0.0005738416087333751,0.0002147658218983608,0.03764945773317221,0.0,0.0,0.0,0.0,0.0,0.0,0.07233065442020666,0.045924225028702644,0.02640642939150402,1.1876954748802407e-05,0.00027870722544074425,0.04184539683726573,0.12101910828025478,0.08492569002123142,0.036093418259023353,0.004223697881375073,0.0007212556962962182,0.04033329928440971
HAT22,6.0,0.9798270893371758,0.7146974063400576,0.26512968299711814,0.5695390714797355,0.001004965464043065,0.14327322587485444,0.43462897526501765,0.1625441696113074,0.27208480565371024,0.8871137508458011,0.0012579888018776873,0.12756979632126042,0.044345898004434586,0.017738359201773836,0.026607538802660754,0.0,0.0009559031108801255,0.02797791699801707,0.4482758620689655,0.3184584178498986,0.12981744421906694,0.018750309206946026,0.0003419073162787977,0.11375469060728854,0.4239290989660266,0.1329394387001477,0.2909896602658789,0.002263728772080096,0.0003155046509065844,0.13478311154300623,0.10125,0.04,0.06125,0.5330366082603254,0.00044780151475423897,0.04016701817366753,0.0695364238410596,0.06788079470198675,0.0016556291390728477,0.0,0.00021891228254087054,0.039939080214586885,0.1791044776119403,0.09701492537313433,0.08208955223880597,0.0,0.0005541679716772684,0.049380929329694075,0.02066590126291619,0.011481056257175661,0.009184845005740528,0.0,0.00020732870996745067,0.014163358516632498,0.05732484076433121,0.03397027600849257,0.02335456475583864,0.014008221529565885,0.0005989863271025363,0.02039924841340782
RD26,6.0,1.0288184438040344,0.5734870317002881,0.4553314121037464,0.7858523096400193,0.0008992893457460287,0.14485877710950548,0.4840989399293286,0.24028268551236748,0.24381625441696111,0.8933789439390523,0.0013696556863988624,0.1333170141319447,0.013303769401330377,0.0022172949002217295,0.011086474501108647,0.0,0.0006273794283788646,0.008517596857656764,0.30628803245436104,0.20892494929006084,0.0973630831643002,0.0005483269842840417,0.00032351141144751594,0.09885675721989746,0.07533234859675038,0.03249630723781389,0.04283604135893649,0.17034777516540953,0.00019926945266603342,0.046338532818537836,0.1075,0.015,0.0925,0.2718898623279099,0.0004865846893150313,0.04229124231477941,0.0728476821192053,0.048013245033112585,0.024834437086092714,0.0,0.00021745444897392703,0.03854002097643531,0.0,0.0,0.0,0.0,0.0,0.0,0.08725602755453502,0.04707233065442021,0.040183696900114814,0.00024413740316982726,0.00028001478013952176,0.044217241742458696,0.0,0.0,0.0,0.0,0.0,0.0
MYB7,6.0,0.6195965417867435,0.3688760806916426,0.2507204610951008,0.4572720760940181,0.0008324031454342822,0.12487369565537886,0.08480565371024734,0.021201413427561835,0.0636042402826855,0.0,0.0008049261555445206,0.04517536537286724,0.0,0.0,0.0,0.0,0.0,0.0,0.5618661257606491,0.4847870182555781,0.07707910750507099,0.07575157901680436,0.0003505029308345009,0.12712190755594302,0.2511078286558346,0.1240768094534712,0.12703101920236337,0.0017436829730887225,0.00028619313481882436,0.1055196817517298,0.32625,0.2925,0.03375,0.10047246558197746,0.0006145210700277475,0.08121988966682712,0.033112582781456956,0.019867549668874173,0.013245033112582781,2.4710882672729072e-05,0.0002076718475332308,0.022149902408392437,1.171641791044776,0.48507462686567165,0.6865671641791045,0.4874312647289867,0.001032558666765068,0.1536510751990166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G39780,6.0,0.2737752161383285,0.1844380403458213,0.0893371757925072,0.21611334144025587,0.0007813051040671435,0.07858418773838588,0.2968197879858657,0.1413427561837456,0.15547703180212014,0.4436508533192993,0.0010654411977604101,0.09473405024813418,0.41685144124168516,0.19290465631929046,0.22394678492239467,0.7379995072678,0.0012939352283660587,0.11509209216246472,0.11359026369168357,0.07910750507099391,0.034482758620689655,4.9473111363973685e-05,0.00028408364374637974,0.053819505957272654,0.04283604135893649,0.019202363367799114,0.023633677991137372,2.8405862970117034e-05,0.000278396531059919,0.03282399294709777,0.02625,0.00125,0.025,0.0,0.00033753173656639297,0.012353576893337529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11595866819747418,0.06314580941446614,0.05281285878300804,0.0,0.0002941804308756083,0.052805905183931974,0.7579617834394904,0.21656050955414013,0.5414012738853503,0.41709807110267877,0.0012858640769496193,0.11767169711566255
KNAT7,6.0,1.1095100864553313,0.8040345821325647,0.30547550432276654,0.7544601955656244,0.0010308740450562794,0.14623145208142121,0.13780918727915195,0.07773851590106007,0.06007067137809187,0.0,0.001085805193585779,0.06477853311210674,0.09090909090909091,0.037694013303769404,0.05321507760532151,0.0,0.0009466363042432474,0.0521810852224985,0.34685598377281945,0.1643002028397566,0.18255578093306288,0.00015254209337225218,0.0003207204778931265,0.10238514008912607,0.2806499261447563,0.06646971935007386,0.21418020679468244,0.014360256264585319,0.0003025835780376785,0.11743453291768853,0.10250000000000001,0.08625000000000001,0.01625,0.1990331664580726,0.000467178996307021,0.038742198171545096,0.0,0.0,0.0,0.0,0.0,0.0,1.1791044776119404,0.27611940298507465,0.9029850746268656,0.004432723600044888,0.0012640237195709963,0.15730588134177068,0.0,0.0,0.0,0.0,0.0,0.0,0.267515923566879,0.19532908704883226,0.07218683651804671,0.1751682703166644,0.0007143818901714787,0.0629508484693788
WLIM1,6.0,0.6051873198847262,0.27665706051873196,0.3285302593659942,0.9777614898968866,0.0009040475129461873,0.11464765558188526,0.2791519434628975,0.0812720848056537,0.1978798586572438,0.019747888629927574,0.001113987466032194,0.09740444496501757,0.0,0.0,0.0,0.0,0.0,0.0,0.07099391480730223,0.04665314401622718,0.02434077079107505,6.18413892049671e-05,0.0002455154628961364,0.03768797880409375,0.25258493353028066,0.20531757754800592,0.047267355982274745,0.0012760787672729498,0.00032380590501468356,0.11382380776931338,0.28125,0.22,0.06125,0.12895181476846057,0.0005726123138874448,0.077318010921712,0.32450331125827814,0.09271523178807947,0.23178807947019867,5.49130726060646e-06,0.0002444696851119575,0.08906409035691679,0.47761194029850745,0.4552238805970149,0.022388059701492536,0.0,0.0010230916632538664,0.10347270082163527,0.1251435132032147,0.0574052812858783,0.0677382319173364,0.0,0.00028765313080939144,0.05500468662557252,0.0,0.0,0.0,0.0,0.0,0.0
LEP,6.0,0.13256484149855907,0.07780979827089336,0.0547550432276657,0.004439372990621512,0.0006442697858992251,0.046245044693963185,0.18021201413427562,0.15901060070671377,0.021201413427561835,0.03264165601583841,0.0012383658936692384,0.07565770917111496,0.015521064301552107,0.011086474501108647,0.004434589800443459,0.0,0.0006090274568813711,0.012680208595890087,0.0,0.0,0.0,0.0,0.0,0.0,0.2865583456425406,0.24667651403249632,0.03988183161004431,0.03776450228557944,0.00036133212026735165,0.12766564493455498,0.95125,0.7275,0.22375,0.8966739674593242,0.0006415125062240479,0.1115734160861181,0.304635761589404,0.2119205298013245,0.09271523178807947,2.74565363030323e-05,0.00028222886232067443,0.08621722360446615,0.0,0.0,0.0,0.0,0.0,0.0,0.02870264064293915,0.018369690011481057,0.010332950631458095,0.00034047270279900235,0.0002304122342465976,0.02107066341111083,0.0,0.0,0.0,0.0,0.0,0.0
