,tf_occurance,atri_degree_centrality,atri_out_centrality,atri_in_centrality,atri_betweenness_centrality,atri_closeness_centrality,atri_eigenvector_centrality,tri_degree_centrality,tri_out_centrality,tri_in_centrality,tri_betweenness_centrality,tri_closeness_centrality,tri_eigenvector_centrality,lrc_degree_centrality,lrc_out_centrality,lrc_in_centrality,lrc_betweenness_centrality,lrc_closeness_centrality,lrc_eigenvector_centrality,cor_degree_centrality,cor_out_centrality,cor_in_centrality,cor_betweenness_centrality,cor_closeness_centrality,cor_eigenvector_centrality,end_degree_centrality,end_out_centrality,end_in_centrality,end_betweenness_centrality,end_closeness_centrality,end_eigenvector_centrality,per_degree_centrality,per_out_centrality,per_in_centrality,per_betweenness_centrality,per_closeness_centrality,per_eigenvector_centrality,pro_degree_centrality,pro_out_centrality,pro_in_centrality,pro_betweenness_centrality,pro_closeness_centrality,pro_eigenvector_centrality,xyl_degree_centrality,xyl_out_centrality,xyl_in_centrality,xyl_betweenness_centrality,xyl_closeness_centrality,xyl_eigenvector_centrality,phl_degree_centrality,phl_out_centrality,phl_in_centrality,phl_betweenness_centrality,phl_closeness_centrality,phl_eigenvector_centrality,col_degree_centrality,col_out_centrality,col_in_centrality,col_betweenness_centrality,col_closeness_centrality,col_eigenvector_centrality
UPB1,9.0,0.44415584415584414,0.21818181818181817,0.22597402597402597,0.42610254329004327,0.0005882945890582696,0.11339911366401949,0.06851851851851852,0.037037037037037035,0.031481481481481485,0.001851851851851852,0.000510279166662101,0.04121783980291483,0.2831215970961887,0.09437386569872958,0.18874773139745915,0.8303679260848045,0.0008021446042400162,0.0809043284437091,0.061170212765957445,0.034574468085106384,0.026595744680851064,1.4184397163120568e-05,0.0001754325799849721,0.02386401684088316,0.014354066985645933,0.011483253588516746,0.0028708133971291866,5.957946066838989e-05,0.00031379170238291773,0.012254406267285573,0.15206812652068127,0.06082725060827251,0.09124087591240876,1.1854275392598783e-05,0.000324165230900931,0.05936583086640081,0.5275482093663912,0.19421487603305787,0.33333333333333337,0.6470219435736677,0.0006415705189896526,0.09183345904879994,0.0,0.0,0.0,0.0,0.0,0.0,0.08122941822173436,0.03732162458836444,0.043907793633369926,0.01172482840978999,0.0002748838761073678,0.04073606128103061,0.1744868035190616,0.16129032258064516,0.013196480938416423,0.0019378092420582118,0.00074431381963282,0.06616947921037575
HAT22,9.0,0.2831168831168831,0.06493506493506493,0.21818181818181817,0.358887987012987,0.0005878071380068427,0.09088137413016871,0.40370370370370373,0.11851851851851852,0.2851851851851852,0.8590118875833163,0.0006784510824154569,0.12241643793279049,0.0,0.0,0.0,0.0,0.0,0.0,0.4281914893617021,0.19414893617021275,0.23404255319148937,0.19247517730496455,0.00027536533824045205,0.09199411046796038,0.9157894736842106,0.49856459330143543,0.4172248803827751,0.06885002474839136,0.0005400880482754266,0.127148852837294,0.16058394160583941,0.0827250608272506,0.07785888077858881,0.29270280442520097,0.00030063138021878906,0.058875166263568764,0.13085399449035812,0.07300275482093664,0.05785123966942149,0.009886957347772396,0.00045936675129621774,0.03569980954690232,0.40236686390532544,0.23076923076923075,0.17159763313609466,0.024267399267399264,0.0008072887524123227,0.06337796700161259,0.03732162458836444,0.020856201975850714,0.01646542261251372,5.186909687458535e-05,0.00022713184412236057,0.02549150641995995,0.08651026392961877,0.07038123167155425,0.016129032258064516,0.05276008629710491,0.0007253233692127215,0.03748769007768571
WLIM1,8.0,0.12467532467532468,0.01038961038961039,0.11428571428571428,0.37604843073593075,0.00046438620567687783,0.05776708027731433,0.11666666666666667,0.03518518518518519,0.08148148148148149,0.001851851851851852,0.0005025242684020807,0.0600937323824014,0.0,0.0,0.0,0.0,0.0,0.0,0.0398936170212766,0.026595744680851064,0.013297872340425532,7.092198581560284e-06,0.00017729802066474183,0.01628845894683903,0.2947368421052632,0.09760765550239235,0.19712918660287082,0.0012603347449082476,0.000421164717336821,0.08176355284729049,0.16180048661800486,0.12530413625304138,0.03649635036496351,0.00042675391413355616,0.0003337046983607494,0.06368718774358383,0.22038567493112948,0.081267217630854,0.1391184573002755,0.4976954497957633,0.0004814113891020412,0.052889625318947434,0.5976331360946745,0.3431952662721893,0.2544378698224852,0.0007044237813468582,0.0010529627282513338,0.09584985558835017,0.11306256860592756,0.050493962678375415,0.06256860592755215,0.015027562996827542,0.0003027702664059297,0.050516302142918745,0.0,0.0,0.0,0.0,0.0,0.0
AT4G30410,7.0,0.2,0.13246753246753246,0.06753246753246753,0.005756222943722944,0.0005111366289477666,0.07034152947337859,0.7851851851851852,0.6555555555555556,0.12962962962962962,0.8944581873153302,0.0008212068381182506,0.15326685540255253,0.05626134301270417,0.032667876588021776,0.023593466424682394,0.0,0.0005983417811877938,0.026204030523123676,0.3776595744680851,0.11968085106382978,0.2579787234042553,0.014567375886524823,0.00023898002791297997,0.07967856630573915,0.09282296650717703,0.0660287081339713,0.026794258373205742,0.004009239399439037,0.00045757232356450494,0.046015658841819525,0.14963503649635038,0.06204379562043796,0.08759124087591241,0.34683535300550333,0.00033892634073286974,0.055201540827189095,0.2837465564738292,0.06611570247933884,0.21763085399449036,0.6893530920490168,0.000483358928912347,0.0673161682525521,0.0,0.0,0.0,0.0,0.0,0.0,0.03512623490669594,0.027442371020856202,0.007683863885839737,2.0506387136463976e-05,0.00023166298495865985,0.025025655210920438,0.0,0.0,0.0,0.0,0.0,0.0
LEP,7.0,0.7636363636363637,0.6961038961038961,0.06753246753246753,0.2963406385281385,0.0006628420779668373,0.15817165150988116,0.8296296296296297,0.7518518518518519,0.07777777777777778,0.6877516663230949,0.0008315123010359241,0.15982731947808015,0.014519056261343012,0.007259528130671506,0.007259528130671506,0.0,0.0005057816909337202,0.008936041437377838,0.10904255319148935,0.10372340425531915,0.005319148936170213,0.00016312056737588653,0.00022294988852813175,0.04236143399833006,0.999043062200957,0.3655502392344498,0.6334928229665072,0.0077224147097105355,0.0005008830782758865,0.13768021553585225,1.1873479318734794,0.7627737226277372,0.42457420924574213,0.833525965308463,0.0004248402192171503,0.13019593817721267,0.43388429752066116,0.15702479338842976,0.2768595041322314,0.9687698299610525,0.0006149396812574498,0.0844908695771105,0.0,0.0,0.0,0.0,0.0,0.0,0.03732162458836444,0.01756311745334797,0.019758507135016465,0.019528111844247957,0.0002128259075003628,0.0235146767474019,0.0,0.0,0.0,0.0,0.0,0.0
GBF6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10106382978723404,0.09308510638297872,0.007978723404255319,0.0006028368794326241,0.00022018099111208964,0.04075378127341373,0.3311004784688995,0.1397129186602871,0.19138755980861244,0.0006242094263872849,0.000491249321525874,0.08311967560103857,0.5316301703163017,0.3309002433090024,0.20072992700729927,0.5752064866594948,0.00039244894961067725,0.1046000705381389,0.5798898071625345,0.36363636363636365,0.21625344352617082,0.3681751686140401,0.0006259811420521828,0.0895208007950284,0.8165680473372781,0.8106508875739645,0.005917159763313609,0.0005283178360101436,0.001273806946542724,0.11969790056210633,1.0252469813391878,0.5192096597145993,0.5060373216245884,0.03889941013980531,0.00036759038277073546,0.137924284684686,0.0,0.0,0.0,0.0,0.0,0.0
KNAT7,6.0,0.2779220779220779,0.09090909090909091,0.18701298701298702,0.2598214285714286,0.000546758001943143,0.09409376123172944,0.03333333333333333,0.011111111111111112,0.022222222222222223,0.0,0.0005427792105384374,0.028304736937243835,0.034482758620689655,0.009074410163339382,0.025408348457350273,0.0,0.0005145795642308988,0.018641297907407112,0.300531914893617,0.1356382978723404,0.16489361702127658,0.00046808510638297874,0.00026394833332486414,0.07432813735027687,0.3253588516746412,0.18181818181818182,0.14354066985645933,0.002062365946213496,0.000507990250519418,0.0815021571027118,0.10097323600973236,0.057177615571776155,0.043795620437956206,0.07831971573447609,0.00029319314577258896,0.04495183042477096,0.01790633608815427,0.004132231404958678,0.013774104683195593,0.0,0.0003639471879676504,0.008694265635594054,1.029585798816568,0.20710059171597633,0.8224852071005917,0.3988447449985911,0.0012819592788423171,0.12752202725934028,0.0,0.0,0.0,0.0,0.0,0.0,0.19794721407624633,0.15395894428152493,0.04398826979472141,0.38016157022836006,0.000803309083867686,0.06379863048728303
BIM1,6.0,0.3064935064935065,0.2701298701298701,0.03636363636363636,0.2518871753246753,0.0005418007035964563,0.08996429128059655,0.05,0.031481481481481485,0.018518518518518517,0.002027073455644884,0.0006599167914681002,0.031235374009702336,0.4664246823956443,0.33575317604355714,0.1306715063520871,0.6574492657977231,0.0008902742455019224,0.10619445929444737,0.10106382978723404,0.08244680851063829,0.018617021276595744,0.0006028368794326241,0.00021554678838939286,0.03454226710681182,0.012440191387559809,0.010526315789473684,0.0019138755980861245,0.0,0.0003081515568897885,0.011330855621582555,0.030413625304136254,0.014598540145985401,0.015815085158150853,0.0,0.0002443472782039844,0.01861077019135509,0.07162534435261708,0.05096418732782369,0.02066115702479339,0.0,0.0004890576101901554,0.027493045723555393,0.0,0.0,0.0,0.0,0.0,0.0,0.07025246981339188,0.04500548847420417,0.025246981339187707,1.5681354869060686e-05,0.00026816868181274206,0.03917892999065406,0.6173020527859238,0.3621700879765396,0.25513196480938416,0.8273390434112332,0.000845702835430896,0.11328819310790474
RAV1,6.0,0.24155844155844156,0.07012987012987013,0.17142857142857143,0.6215435606060606,0.0005559483958897088,0.08468714270823363,0.1537037037037037,0.05185185185185186,0.10185185185185186,0.45492681921253353,0.0007133196637345536,0.07092989674094262,0.09437386569872958,0.016333938294010888,0.07803992740471868,0.0,0.0006402219236274106,0.043245637138610515,0.05053191489361702,0.02925531914893617,0.02127659574468085,0.0008297872340425533,0.00019892934053438165,0.021631963387641614,0.06124401913875598,0.03253588516746411,0.028708133971291867,1.8332141744119967e-06,0.0004045960684517034,0.031139011673874045,0.11678832116788321,0.046228710462287104,0.0705596107055961,0.0036481532520722753,0.0003092435064555065,0.04819422370301235,0.2272727272727273,0.081267217630854,0.14600550964187328,0.01391469554478959,0.00048696697837663196,0.05793025981590676,0.0,0.0,0.0,0.0,0.0,0.0,0.0933040614709111,0.036223929747530186,0.0570801317233809,0.0,0.00027903825460053527,0.043106031302014014,0.07331378299120235,0.00439882697947214,0.0689149560117302,0.0,0.0005413754682942085,0.034983171996876145
ATL6,6.0,0.2649350649350649,0.16103896103896104,0.1038961038961039,0.6466517857142857,0.0005426398672659579,0.09064233472086873,0.016666666666666666,0.012962962962962964,0.003703703703703704,0.0,0.000414881140957475,0.011991270320740398,0.3139745916515426,0.1996370235934664,0.11433756805807622,0.458188417752846,0.0008793841728789776,0.0882807406249475,0.5664893617021276,0.06382978723404255,0.5026595744680851,0.0018439716312056737,0.0003071640859975198,0.11088999448344927,0.05550239234449761,0.027751196172248804,0.027751196172248804,1.8332141744119967e-06,0.0003869452216797258,0.029450633437826206,0.0,0.0,0.0,0.0,0.0,0.0,0.06198347107438017,0.03994490358126722,0.02203856749311295,0.11931414458060227,0.0003684079905521341,0.02314185625726903,0.0,0.0,0.0,0.0,0.0,0.0,0.01866081229418222,0.012074643249176729,0.006586169045005488,0.0,0.00019222327364256842,0.014909226032832328,0.5131964809384164,0.4310850439882698,0.08211143695014662,0.39600423734287593,0.000716673573781025,0.11259753461656152
