,tf_occurance,atri_degree_centrality,atri_out_centrality,atri_in_centrality,atri_betweenness_centrality,atri_closeness_centrality,atri_eigenvector_centrality,tri_degree_centrality,tri_out_centrality,tri_in_centrality,tri_betweenness_centrality,tri_closeness_centrality,tri_eigenvector_centrality,lrc_degree_centrality,lrc_out_centrality,lrc_in_centrality,lrc_betweenness_centrality,lrc_closeness_centrality,lrc_eigenvector_centrality,cor_degree_centrality,cor_out_centrality,cor_in_centrality,cor_betweenness_centrality,cor_closeness_centrality,cor_eigenvector_centrality,end_degree_centrality,end_out_centrality,end_in_centrality,end_betweenness_centrality,end_closeness_centrality,end_eigenvector_centrality,per_degree_centrality,per_out_centrality,per_in_centrality,per_betweenness_centrality,per_closeness_centrality,per_eigenvector_centrality,pro_degree_centrality,pro_out_centrality,pro_in_centrality,pro_betweenness_centrality,pro_closeness_centrality,pro_eigenvector_centrality,xyl_degree_centrality,xyl_out_centrality,xyl_in_centrality,xyl_betweenness_centrality,xyl_closeness_centrality,xyl_eigenvector_centrality,phl_degree_centrality,phl_out_centrality,phl_in_centrality,phl_betweenness_centrality,phl_closeness_centrality,phl_eigenvector_centrality,col_degree_centrality,col_out_centrality,col_in_centrality,col_betweenness_centrality,col_closeness_centrality,col_eigenvector_centrality
HB20,8.0,0.298932384341637,0.12099644128113879,0.1779359430604982,0.794333326989806,0.0005577957250676593,0.10535727393668474,0.2310405643738977,0.19400352733686066,0.037037037037037035,0.21163086357432648,0.0009644493497696288,0.1073178496057989,0.09663250366032211,0.02342606149341142,0.07320644216691069,0.056950747736182014,0.0006592595586233033,0.036513446856668186,0.7153846153846154,0.2076923076923077,0.5076923076923077,0.016622202460352748,0.0003775835098248152,0.14518177759223239,0.7631917631917632,0.18918918918918917,0.5740025740025739,0.025065013467075323,0.0008378999020257876,0.11371955626507164,0.11750305997552019,0.10893512851897184,0.008567931456548347,0.12535099719202247,0.00035813481837383823,0.05203645042181376,0.11342351716961499,0.10093652445369408,0.012486992715920917,0.005928069719042663,0.0003905822544257263,0.04353652353749353,0.0,0.0,0.0,0.0,0.0,0.0,0.11581569115815692,0.053549190535491904,0.062266500622665005,0.1654767191610016,0.0003305908650971469,0.04124568387520264,0.0,0.0,0.0,0.0,0.0,0.0
AT4G30410,8.0,0.701067615658363,0.10142348754448398,0.599644128113879,0.5661090706098033,0.0005652263689627903,0.16819541329348156,1.2239858906525574,0.8959435626102292,0.328042328042328,0.9882681773141136,0.0010902969751083842,0.21557028505773887,0.06149341142020498,0.027818448023426062,0.03367496339677892,4.937677917416263e-05,0.0005479024763164914,0.025751786492517584,0.6596153846153846,0.07884615384615384,0.5807692307692308,0.015299392322513709,0.000383469002298935,0.1468126313651941,0.453024453024453,0.07207207207207207,0.38095238095238093,0.029863073677506666,0.0007086690766600524,0.09011070171864535,0.3255813953488372,0.2986536107711138,0.026927784577723376,0.6991459068327454,0.00041172886344468607,0.08433524850831059,0.32986472424557756,0.19875130072840794,0.13111342351716962,0.5805486906000693,0.00043980099348599514,0.07429474333300688,0.05901639344262295,0.039344262295081964,0.019672131147540982,0.0,0.0003911199789274912,0.016167938592340506,0.08468244084682441,0.057285180572851806,0.0273972602739726,0.02991742312959817,0.000347517179028227,0.036212288489019584,0.0,0.0,0.0,0.0,0.0,0.0
UPB1,7.0,0.8558718861209964,0.037366548042704624,0.8185053380782917,0.3010669813056248,0.0006138502917959483,0.18742390925352356,0.08994708994708994,0.037037037037037035,0.05291005291005291,0.010052286848517708,0.0005993153042396671,0.05227823902727578,0.18448023426061494,0.02342606149341142,0.16105417276720352,0.21335062236209926,0.0007347579338823559,0.06248464099428322,0.057692307692307696,0.0057692307692307696,0.051923076923076926,0.0001296872684155921,0.0002905171493228793,0.03357355660687777,0.043758043758043756,0.023166023166023165,0.02059202059202059,1.1609547692021918e-05,0.0005106959050734261,0.021289889776932962,0.08078335373317012,0.06119951040391676,0.019583843329253364,0.00028649770801833583,0.000340108376210888,0.041245569074615,0.3475546305931322,0.01977107180020812,0.3277835587929241,0.034139784946236554,0.0004456126852116733,0.08184705520051247,0.09836065573770492,0.08852459016393442,0.009836065573770491,0.0,0.0005320227111897814,0.03140098271284656,0.11830635118306351,0.07098381070983811,0.047322540473225407,0.0,0.00035517829507656447,0.04444294906403249,0.05555555555555555,0.04678362573099415,0.008771929824561403,0.0,0.0005728614459892136,0.02830553247728725
BZIP61,7.0,0.14234875444839856,0.07829181494661921,0.06405693950177936,0.5917622953419479,0.0004299593935920787,0.06355915861224386,0.06878306878306878,0.06172839506172839,0.007054673721340388,0.0,0.0007208230088064291,0.05653434778172448,0.09370424597364568,0.060029282576866766,0.03367496339677892,0.0031279116198589113,0.0006148165768339695,0.04025186581837929,0.225,0.08461538461538462,0.14038461538461539,0.000789239662072032,0.00032356064935126007,0.08859078330354933,0.22908622908622908,0.11325611325611325,0.11583011583011582,0.0005555997824039061,0.0007712523406441711,0.05836648533748102,0.2962056303549571,0.28641370869033045,0.009791921664626682,0.1643341853265174,0.0004126847044869495,0.08278299744963843,0.41935483870967744,0.36316337148803335,0.05619146722164413,0.32863987166146374,0.0004815417455177363,0.08493103099006119,0.09836065573770492,0.08524590163934426,0.013114754098360656,0.0,0.0005269403772588416,0.030427989401201713,0.1980074719800747,0.10211706102117062,0.0958904109589041,0.6742903016431524,0.00042042168036598055,0.06216096924162643,0.0,0.0,0.0,0.0,0.0,0.0
HAT1,6.0,0.01779359430604982,0.01601423487544484,0.0017793594306049821,0.0,0.0003900364615294764,0.01711688827009613,0.008818342151675485,0.007054673721340388,0.001763668430335097,0.0,0.0006582483662772963,0.010764220190194664,0.3235724743777453,0.21522693997071743,0.10834553440702782,0.49477679548996795,0.0007569664388071466,0.08653184633554449,0.06923076923076923,0.028846153846153848,0.04038461538461539,3.7053505261597746e-06,0.0002454513089304799,0.039649744571540635,0.09009009009009009,0.05534105534105534,0.03474903474903475,1.4926561318313896e-05,0.0006626740111118592,0.03565874542510654,0.2827417380660954,0.2521419828641371,0.03059975520195838,0.35628314973480213,0.00040808134904358887,0.08095747702305628,0.4734651404786681,0.2778355879292404,0.1956295525494277,0.5128674557752341,0.0004663735564763784,0.08615188947859641,0.0,0.0,0.0,0.0,0.0,0.0,0.12453300124533001,0.1058530510585305,0.0186799501867995,0.4730390710645553,0.00040622865120843826,0.05126422726692061,0.07163742690058479,0.06286549707602339,0.008771929824561403,0.0,0.0005106317461607603,0.03622616172451699
AT1G74840,6.0,0.16725978647686832,0.10142348754448398,0.06583629893238434,0.0008532044328569345,0.0005357601502264632,0.07918305431428416,0.05291005291005291,0.042328042328042326,0.010582010582010581,0.001589171200478621,0.0007393199222637687,0.04392170147837031,0.23865300146412885,0.06588579795021962,0.17276720351390923,0.4661296763030103,0.0007298298334690522,0.06993699204984406,0.08076923076923077,0.019230769230769232,0.06153846153846154,1.1116051578479325e-05,0.0002815901669135026,0.043087761702672644,0.07464607464607464,0.043758043758043756,0.03088803088803089,6.6340272525839535e-06,0.0006375817651277473,0.03245204109687236,0.014687882496940023,0.011015911872705017,0.003671970624235006,0.0,0.00021004857615550268,0.008625047994579495,0.01664932362122789,0.007284079084287201,0.009365244536940688,0.0,0.00024760565700095703,0.008600513355402057,0.0,0.0,0.0,0.0,0.0,0.0,0.0049813200498132005,0.0037359900373599006,0.0012453300124533001,0.0,0.00020166858015467862,0.003987783084507575,0.1067251461988304,0.0847953216374269,0.021929824561403508,3.638916715899069e-05,0.0008461764128460848,0.04511537712879486
AT4G29930,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171303074670571,0.05710102489019034,0.060029282576866766,0.7189194643263505,0.000694601753450367,0.04318844428636064,0.0,0.0,0.0,0.0,0.0,0.0,0.341055341055341,0.2831402831402831,0.05791505791505791,0.0031246268359670423,0.0009003040676469575,0.07143645037997365,0.5544675642594858,0.2178702570379437,0.3365973072215422,0.5036989704082367,0.00038569930720434506,0.1084376861645799,0.060353798126951096,0.01977107180020812,0.04058272632674298,0.004116805411030176,0.00034919856955934635,0.024088538617852887,0.0,0.0,0.0,0.0,0.0,0.0,0.24408468244084683,0.05977584059775841,0.1843088418430884,0.10281736505560507,0.0004089070724944087,0.0724949986940027,0.14766081871345027,0.04824561403508772,0.09941520467836257,0.006194720574007003,0.0006145413361438518,0.056836872956278275
WLIM1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08289241622574955,0.019400352733686066,0.06349206349206349,0.042365434591583,0.0008457223823335022,0.05517426350345045,0.0,0.0,0.0,0.0,0.0,0.0,0.06923076923076923,0.06153846153846154,0.007692307692307693,0.0008633466725952275,0.0002647046501779128,0.04048805458741049,0.546975546975547,0.015444015444015444,0.5315315315315315,0.0032490148469529914,0.0006182783004539408,0.10513255399670614,0.056303549571603426,0.046511627906976744,0.009791921664626682,0.00028799769601843187,0.00028047701005368803,0.022380406222155837,0.18938605619146723,0.11966701352757546,0.06971904266389178,0.0,0.0004097782837458647,0.049702507885236655,0.6983606557377049,0.42295081967213116,0.2754098360655738,0.011345987920621225,0.0007254670348457806,0.10679113573489774,0.15940224159402241,0.11457036114570361,0.0448318804483188,0.0044751135858982685,0.00044117718682496897,0.05313413522228636,0.0,0.0,0.0,0.0,0.0,0.0
BIM1,6.0,0.3487544483985765,0.07295373665480427,0.27580071174377224,0.4756345113263682,0.0005056169159321627,0.11747256382446873,0.021164021164021163,0.005291005291005291,0.015873015873015872,0.0,0.0006520590544972878,0.016849594063968774,0.45973645680819913,0.11273792093704246,0.3469985358711567,0.9380235548704826,0.0007203363019707038,0.09727798596513669,0.13846153846153847,0.015384615384615385,0.12307692307692308,0.001219060323106566,0.00032527822981398265,0.06314195618402828,0.05148005148005148,0.03346203346203346,0.018018018018018018,1.6585068131459884e-06,0.0005765134100721818,0.025757877554298328,0.046511627906976744,0.04406364749082007,0.0024479804161566705,0.0,0.0003111233091513696,0.029766597792045747,0.02393340270551509,0.008324661810613945,0.015608740894901146,0.00021245230662504333,0.00021999398638930162,0.0103581040885014,0.0,0.0,0.0,0.0,0.0,0.0,0.09464508094645081,0.0647571606475716,0.029887920298879204,0.0,0.00034759156110575264,0.04071192096014548,0.6842105263157894,0.48391812865497075,0.2002923976608187,0.013299170326988774,0.0008699997749998822,0.1261135713576231
GATA11,6.0,0.10320284697508897,0.06405693950177936,0.03914590747330961,0.00248666273367969,0.0004942127767624213,0.06128408673463526,0.012345679012345678,0.008818342151675485,0.003527336860670194,0.0,0.0005104475495359378,0.015420392925915296,0.1493411420204978,0.11127379209370425,0.03806734992679356,0.005092248704396251,0.0007079034057116002,0.05367783733987709,0.15192307692307694,0.05384615384615385,0.09807692307692309,2.9642804209278197e-05,0.00030694794971076355,0.06900084572414703,0.1274131274131274,0.08494208494208494,0.04247104247104247,1.4926561318313896e-05,0.0007205382808246944,0.0437575906071393,0.02570379436964504,0.024479804161566705,0.0012239902080783353,0.0,0.0002841615063520294,0.01865207640449785,0.028095733610822064,0.02393340270551509,0.004162330905306972,0.0009744623655913978,0.00029584026446135035,0.014450332770713413,0.013114754098360656,0.009836065573770491,0.003278688524590164,0.0,0.00029236712117287086,0.005203355244539222,0.0161892901618929,0.0112079701120797,0.0049813200498132005,0.11263714934332911,0.00023424923270842562,0.008023046344968247,0.02046783625730994,0.013157894736842105,0.007309941520467836,0.0,0.0004063451888781071,0.013322726919631317
