,tf_occurance,atri_degree_centrality,atri_out_centrality,atri_in_centrality,atri_betweenness_centrality,atri_closeness_centrality,atri_eigenvector_centrality,tri_degree_centrality,tri_out_centrality,tri_in_centrality,tri_betweenness_centrality,tri_closeness_centrality,tri_eigenvector_centrality,lrc_degree_centrality,lrc_out_centrality,lrc_in_centrality,lrc_betweenness_centrality,lrc_closeness_centrality,lrc_eigenvector_centrality,cor_degree_centrality,cor_out_centrality,cor_in_centrality,cor_betweenness_centrality,cor_closeness_centrality,cor_eigenvector_centrality,end_degree_centrality,end_out_centrality,end_in_centrality,end_betweenness_centrality,end_closeness_centrality,end_eigenvector_centrality,per_degree_centrality,per_out_centrality,per_in_centrality,per_betweenness_centrality,per_closeness_centrality,per_eigenvector_centrality,pro_degree_centrality,pro_out_centrality,pro_in_centrality,pro_betweenness_centrality,pro_closeness_centrality,pro_eigenvector_centrality,xyl_degree_centrality,xyl_out_centrality,xyl_in_centrality,xyl_betweenness_centrality,xyl_closeness_centrality,xyl_eigenvector_centrality,phl_degree_centrality,phl_out_centrality,phl_in_centrality,phl_betweenness_centrality,phl_closeness_centrality,phl_eigenvector_centrality,col_degree_centrality,col_out_centrality,col_in_centrality,col_betweenness_centrality,col_closeness_centrality,col_eigenvector_centrality
HAT1,8.0,0.46078431372549017,0.27647058823529413,0.1843137254901961,0.03133402673446589,0.001327612238048635,0.08696904801479566,0.04144385026737968,0.00802139037433155,0.03342245989304812,0.0,0.000619598502053439,0.033853705635010646,0.4049586776859504,0.26092089728453366,0.14403778040141677,0.25449716842366743,0.0005942725445206954,0.09252054638471037,0.4463276836158192,0.3559322033898305,0.0903954802259887,0.0009442870632672332,0.0004448385989764878,0.12570451427116971,0.522911051212938,0.4474393530997305,0.07547169811320756,0.000407955124936257,0.0006234299515580452,0.09694997262637034,0.1855541718555417,0.099626400996264,0.0859277708592777,0.190894184215675,0.0005983537350432771,0.061429357829526084,0.24054982817869416,0.10309278350515465,0.13745704467353953,0.9026937061908215,0.0003941592413779023,0.05954389874128489,0.09113300492610837,0.07019704433497537,0.020935960591133004,0.13988993701141328,0.0002744800709275077,0.04665639121781811,0.04863221884498481,0.010131712259371834,0.03850050658561297,0.2035693220795288,0.00033118744504607105,0.022256052589092426,0.15838150289017341,0.06820809248554914,0.09017341040462429,0.0,0.00029103421405692677,0.047669729136951
GAMMA-H2AX,8.0,0.7196078431372549,0.29215686274509806,0.42745098039215684,0.9884240533148426,0.0014088032407738572,0.0972846315981699,0.21657754010695185,0.09358288770053476,0.1229946524064171,0.7564858363937031,0.0008748570072233124,0.09617850021411689,0.24557260920897284,0.05548996458087367,0.19008264462809915,0.48016780125097336,0.0005451356386747559,0.07655348411119035,0.4491525423728814,0.4463276836158192,0.002824858757062147,0.02233478977609193,0.0005134500196707194,0.12608150047554822,0.5256064690026955,0.48247978436657685,0.0431266846361186,0.0009616085087783201,0.0006190168036741614,0.09941599019568836,0.14072229140722292,0.05603985056039851,0.08468244084682441,0.0010698658087036456,0.0005675532233299315,0.052314048343231,0.06872852233676977,0.050400916380297825,0.018327605956471937,2.627237092384165e-06,0.00030054168110933883,0.02460652196261395,0.04064039408866995,0.0332512315270936,0.007389162561576354,0.158529881615472,0.00021628631544509653,0.02466213867897077,0.05167173252279635,0.03546099290780142,0.016210739614994935,0.0,0.00023208325106492306,0.02053925685052254,0.0,0.0,0.0,0.0,0.0,0.0
GRP2B,8.0,0.27450980392156865,0.14901960784313725,0.12549019607843137,3.8522285141954625e-05,0.0013019470200693677,0.06493312507448615,0.0748663101604278,0.06283422459893048,0.012032085561497326,0.0,0.0008023275794410823,0.05770061055757999,0.24793388429752064,0.15938606847697756,0.0885478158205431,0.06958365082156184,0.0005403804386593799,0.0753695648289217,0.3983050847457627,0.3418079096045198,0.05649717514124294,0.0051375618187929125,0.0004458249645765209,0.11874229018993719,0.39083557951482484,0.3881401617250674,0.0026954177897574125,0.0,0.0005994957448581168,0.08851598072676861,0.3001245330012453,0.2876712328767123,0.012453300124533,0.08525231131386975,0.0006637077082448045,0.07690749563265208,0.17869415807560138,0.07903780068728522,0.09965635738831616,0.024560725958153364,0.0003722941068238251,0.050160051862816295,0.23768472906403942,0.10960591133004927,0.12807881773399016,0.00886517283898125,0.0002996134122632373,0.07480874034058642,0.44984802431610943,0.11752786220871328,0.3323201621073962,0.0037063981865673636,0.00039668805629531457,0.08084533271812389,0.27514450867052026,0.18381502890173412,0.09132947976878614,0.044570220509526866,0.00036464950400179146,0.06817366259409023
BME3,7.0,0.13725490196078433,0.07647058823529412,0.060784313725490195,0.18961053969721484,0.001088849047869202,0.03910060143432245,0.11363636363636363,0.07352941176470588,0.040106951871657755,0.14011482650745585,0.0008623885707156083,0.06968919337215532,0.1204250295159386,0.09327036599763872,0.02715466351829988,0.0003642392423823758,0.000466007883358102,0.048915170712452,0.3248587570621469,0.2033898305084746,0.12146892655367232,0.0,0.0004385855416712368,0.10397986475315399,0.4285714285714286,0.3881401617250674,0.04043126684636119,0.0012020106359729,0.0006079990632600046,0.08883178886706652,0.057285180572851806,0.052303860523038606,0.0049813200498132005,0.0,0.0005196924673507926,0.027834935786493074,0.0,0.0,0.0,0.0,0.0,0.0,0.09975369458128079,0.04556650246305419,0.054187192118226604,0.0356611371960664,0.0002190940989014108,0.04707210135672234,0.05268490374873354,0.020263424518743668,0.03242147922998987,0.03700952134338695,0.00022076927592496487,0.018088461421274682,0.04855491329479769,0.026589595375722544,0.021965317919075147,0.0037532113037893385,0.00027267011740036425,0.020497086361044897
GATA2,7.0,1.2980392156862746,0.5686274509803921,0.7294117647058823,0.9796833468161331,0.0016641783283004175,0.1257286049555334,1.549465240641711,0.9598930481283422,0.5895721925133689,0.9983982274910694,0.0010915540251495968,0.18762108568859726,1.48642266824085,0.8099173553719008,0.6765053128689492,0.9859160826278814,0.0006566523941749045,0.14291316608608703,0.4717514124293785,0.3728813559322034,0.09887005649717515,0.027504361325843055,0.0004668197664098864,0.12328757581945907,0.7142857142857143,0.6927223719676551,0.0215633423180593,0.007510745246594303,0.0006553247896149463,0.1149687199488877,0.017434620174346202,0.0161892901618929,0.0012453300124533001,0.0,0.0003910073568007382,0.010549064786481092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006079027355623101,0.005065856129685917,0.0010131712259371835,0.003943763859175365,0.00017396628489899644,0.0033353693916944854,0.09942196531791908,0.045086705202312144,0.05433526011560694,0.07870905587668593,0.0003095810435155729,0.03070614864390323
HB20,7.0,0.4019607843137255,0.01764705882352941,0.38431372549019605,0.16379290419507686,0.0012666212297134396,0.08316732669647957,0.05614973262032085,0.00802139037433155,0.0481283422459893,0.0,0.0007547743160799591,0.045100269292728715,0.014167650531286893,0.0011806375442739079,0.012987012987012986,0.0,0.00039325140300998276,0.008358332112082176,0.615819209039548,0.059322033898305086,0.556497175141243,0.22347593668475216,0.00043503072441796294,0.14021148815714976,1.0592991913746632,0.39622641509433965,0.6630727762803235,0.00072120638158374,0.0006203630991880504,0.12737427735512546,0.3001245330012453,0.2565379825653798,0.043586550435865505,0.000555895441967932,0.0006561903246558816,0.08159084713269033,0.061855670103092786,0.026345933562428408,0.035509736540664374,0.0054515169666971425,0.0002784422429831767,0.02248569021987296,0.0,0.0,0.0,0.0,0.0,0.0,0.1651469098277609,0.06686930091185411,0.0982776089159068,0.0703188098423522,0.0003035202485170094,0.044232293720013215,0.20115606936416186,0.18843930635838152,0.012716763005780347,0.0015400877756369085,0.0003809927257635544,0.05735015618962071
BZIP61,6.0,0.21764705882352942,0.00980392156862745,0.20784313725490194,0.0,0.0011084752825735182,0.05758140607914881,0.05614973262032085,0.030748663101604276,0.025401069518716575,0.0,0.0007299160147079165,0.041056674626730426,0.03541912632821723,0.012987012987012986,0.02243211334120425,0.0,0.0003478550578196899,0.01949589957683818,0.307909604519774,0.0847457627118644,0.2231638418079096,0.027024215361469886,0.00038455486284792294,0.0966004983442293,0.5956873315363882,0.30188679245283023,0.29380053908355797,0.018554673271654405,0.0006000782657881292,0.10322288454075142,0.26774595267745954,0.17434620174346202,0.09339975093399751,0.51315826250066,0.0006316005031667899,0.07791436557239195,0.15463917525773196,0.059564719358533795,0.09507445589919818,0.9528726210368128,0.0003597067947842039,0.04432146530332607,0.11576354679802955,0.08620689655172414,0.029556650246305417,0.0005375592985610418,0.00023927911184805015,0.055745941898500524,0.17426545086119555,0.060790273556231005,0.11347517730496455,0.34522936100338886,0.0003101318962801518,0.04832650041651519,0.043930635838150295,0.04161849710982659,0.0023121387283236996,0.0,0.00033381042537967,0.017892447867820415
MYB12,6.0,0.045098039215686274,0.03725490196078431,0.00784313725490196,0.002299780422974691,0.0008834428574599875,0.018130296947004246,0.029411764705882353,0.025401069518716575,0.004010695187165775,0.0,0.0006032050349361611,0.027600052965509596,0.0,0.0,0.0,0.0,0.0,0.0,1.0960451977401129,0.19491525423728814,0.9011299435028248,0.265712776684112,0.0005455117748437606,0.17006397386795255,1.5795148247978437,0.8247978436657682,0.7547169811320755,0.055343483645370437,0.0006872724235633359,0.13521061839693543,0.11830635118306351,0.074719800747198,0.043586550435865505,0.01498588522467182,0.0005716150563173121,0.0469609201773957,0.07331042382588775,0.058419243986254296,0.014891179839633449,0.0,0.000333017172757737,0.031144213456264933,0.24630541871921183,0.13177339901477833,0.1145320197044335,0.2759045877800927,0.0003022393123381406,0.07892566476672305,0.0,0.0,0.0,0.0,0.0,0.0,0.2393063583815029,0.19537572254335261,0.043930635838150295,0.9424828730464568,0.00038839018895178587,0.06117594855778614
GATA4,6.0,0.8196078431372549,0.2019607843137255,0.6176470588235294,0.9367926345390809,0.0014702657351475504,0.1141307778278462,0.30080213903743314,0.14037433155080212,0.16042780748663102,0.7441351860203739,0.000946623167354172,0.1144011547616574,0.332939787485242,0.1641086186540732,0.16883116883116883,0.9392278686282554,0.00048730731856516516,0.08525364544527848,0.5988700564971752,0.4265536723163842,0.17231638418079095,0.3162721467326067,0.0004701576164720246,0.13640181756050931,1.005390835579515,0.9568733153638814,0.04851752021563342,0.544467108618052,0.0006773350687544236,0.13374870996893576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12369942196531793,0.10057803468208093,0.023121387283236997,0.6288227895525583,0.00035087521476585923,0.04130648983582193
BBX29,6.0,0.18627450980392157,0.08235294117647059,0.10392156862745097,0.00021572479679494587,0.0009747400074287774,0.05292405556224146,0.00802139037433155,0.00267379679144385,0.0053475935828877,0.0,0.0005587606929550589,0.0077991473514681135,0.12396694214876032,0.034238488783943324,0.089728453364817,0.1568294160170369,0.00043088469716885637,0.05145397967617985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15442092154420922,0.11581569115815692,0.038605230386052306,0.002481343341521663,0.0005981131913239052,0.05652625618892704,0.04581901489117984,0.035509736540664374,0.010309278350515464,0.07648281261494162,0.00029307407244076486,0.0206933381888024,0.04433497536945813,0.02586206896551724,0.01847290640394089,0.0,0.000182995050636022,0.023521310845248923,0.10030395136778116,0.040526849037487336,0.059777102330293826,0.004052684903748734,0.0002849874626046797,0.033067478797689696,0.035838150289017344,0.009248554913294798,0.026589595375722544,0.002301434382359238,0.0002255713302589532,0.018046894579794574
