,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G23880,AT3G23880,2,2,0,0.0,0.0,0.0010952902519167599,0.0010952902519167599,0.0,0,2.99751026797142e-07,0.00152131866121832,0.000419478082556324,-0.153157349272886,3.16341309667396,2,3,-0.6864765674824521,0.5,Peripheral,Elongation_Xylem
AT2G38130,MAK3,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000244496187993112,0.00041699684391404,-0.153157349272886,3.16341309667396,217,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT5G46910,AT5G46910,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000628953045284523,0.00041704705701215496,-0.153157349272886,3.16341309667396,218,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT3G46940,DUT1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,5.3608228901157795e-06,0.000425002934604905,-0.153157349272886,3.16341309667396,219,1,-0.505127887497183,0.0,Ultra peripheral,Elongation_Xylem
AT2G38810,HTA8,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,5.35530852310792e-06,0.00042499232806136,-0.153157349272886,3.16341309667396,220,1,-0.505127887497183,0.0,Ultra peripheral,Elongation_Xylem
AT1G66340,ETR1,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.0007086047484205231,0.000416615045362872,-0.153157349272886,3.16341309667396,221,3,-0.6864765674824521,0.0,Ultra peripheral,Elongation_Xylem
AT3G51990,AT3G51990,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.0037191676765407702,0.0004151761869086,-0.153157349272886,3.16341309667396,222,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT4G29950,AT4G29950,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000737769450933397,0.000416953071224131,-0.153157349272886,3.16341309667396,223,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT3G05200,ATL6,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000736820178753025,0.000416950161596569,-0.153157349272886,3.16341309667396,224,5,-0.8369574997616009,0.0,Ultra peripheral,Elongation_Xylem
AT1G15960,NRAMP6,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000266095181777864,0.000422680119786542,-0.153157349272886,3.16341309667396,225,1,-0.505127887497183,0.0,Ultra peripheral,Elongation_Xylem
AT2G47700,RFI2,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,0.000761855378954128,0.000416483670559855,-0.153157349272886,3.16341309667396,226,4,-0.522137068246808,0.0,Ultra peripheral,Elongation_Xylem
AT5G38110,ASF1B,1,1,0,0.0,0.0,0.000547645125958379,0.000547645125958379,0.0,0,2.99751026797142e-07,5.3016580096562405e-06,0.000424889134620234,-0.153157349272886,3.16341309667396,227,1,-0.505127887497183,0.0,Ultra peripheral,Elongation_Xylem
