,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G12820,AtMYB10,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.205635584415711e-07,0.00050963512158211,0.00048705647233209697,-0.143316559785017,3.08414736705913,614,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT1G74250,JJJ1,5,4,1,0.0,0.0,0.00360750360750361,0.00288600288600289,0.0007215007215007219,246,5.20563558442377e-07,0.008534095530903459,0.0004969567773969429,-0.143316559785017,3.08414736705913,615,3,-0.9602596933748669,0.56,Peripheral,Maturation_Pericycle
AT4G34680,GATA3,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558460749e-07,0.00067909933741427,0.00048705647233209697,-0.143316559785017,3.08414736705913,616,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT1G76870,AT1G76870,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.205635584662379e-07,0.0014341909119974401,0.00048705647233209697,-0.143316559785017,3.08414736705913,617,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT3G25990,GT-4,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.2056355847796e-07,0.00118767935645694,0.00048705647233209697,-0.143316559785017,3.08414736705913,618,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT4G31060,ERF015,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558483385e-07,0.000781273093649687,0.00048705647233209697,-0.143316559785017,3.08414736705913,619,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT1G44810,AT1G44810,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558486191e-07,0.000469394146177156,0.00048705647233209697,-0.143316559785017,3.08414736705913,620,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT2G31370,POSF21,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558501624e-07,0.00169909337055839,0.00048705647233209697,-0.143316559785017,3.08414736705913,621,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT5G07580,ERF106,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558505586e-07,0.000505466999003671,0.00048705647233209697,-0.143316559785017,3.08414736705913,622,3,-1.05482662997622,0.0,Ultra peripheral,Maturation_Pericycle
AT4G00238,STKL1,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558511832e-07,0.000804016697399951,0.00048705647233209697,-0.143316559785017,3.08414736705913,623,3,-1.05482662997622,0.0,Ultra peripheral,Maturation_Pericycle
AT2G33710,AT2G33710,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.205635585359179e-07,0.000598396653003456,0.00048705647233209697,-0.143316559785017,3.08414736705913,624,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT1G02220,NAC003,3,2,1,0.0,0.0,0.00216450216450216,0.00144300144300144,0.0007215007215007219,304,5.25113177792392e-07,0.00105889908475291,0.0005285589829651509,-0.143316559785017,3.08414736705913,625,0,-0.568780054763203,0.444444444444444,Peripheral,Maturation_Pericycle
AT4G37650,SHR,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558539549e-07,0.000224724651735971,0.00048705647233209697,-0.143316559785017,3.08414736705913,626,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT1G66140,ZFP4,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.2056355854245e-07,4.0273279799658505e-05,0.00048705647233209697,-0.143316559785017,3.08414736705913,627,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT5G59340,WOX2,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558548856e-07,0.00049474012350704,0.00048705647233209697,-0.143316559785017,3.08414736705913,628,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT5G24110,WRKY30,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,1.25597668148527e-06,0.00267944878231407,0.00048705647233209697,-0.143316559785017,3.08414736705913,629,3,-1.05482662997622,0.0,Ultra peripheral,Maturation_Pericycle
AT1G08320,TGA9,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.2056355859662e-07,0.00137568014088833,0.00048705647233209697,-0.143316559785017,3.08414736705913,630,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT4G11140,CRF1,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558600344e-07,0.000990880485332233,0.00048705647233209697,-0.143316559785017,3.08414736705913,631,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT2G28200,ZAT5,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558603209e-07,0.000252857704318668,0.00048705647233209697,-0.143316559785017,3.08414736705913,632,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
AT5G05770,WOX7,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.20563558615436e-07,0.00127129042774991,0.00048705647233209697,-0.143316559785017,3.08414736705913,633,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT3G15030,TCP4,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.2056355862014e-07,0.0014651592487023698,0.00048705647233209697,-0.143316559785017,3.08414736705913,634,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT2G46410,CPC,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,1.2603726301642599e-06,0.0009183504376971331,0.00048705647233209697,-0.143316559785017,3.08414736705913,635,1,-0.954867909979847,0.0,Ultra peripheral,Maturation_Pericycle
AT3G57480,SAP13,1,0,1,0.0,0.0,0.0007215007215007219,0.0,0.0007215007215007219,0,5.2056355864392e-07,0.00028314233262198,0.00048705647233209697,-0.143316559785017,3.08414736705913,636,0,-0.644864537569826,0.0,Ultra peripheral,Maturation_Pericycle
