,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G61150,HDG1,6,0,6,0.0,0.0,0.00268937696100403,0.0,0.00268937696100403,0,2.01361199549612e-07,0.00587369385980206,0.000340682712795526,-0.20193775556896,3.67023853785492,3,3,-0.667257976615671,0.5,Peripheral,Proliferation Domain_Cortex
AT5G54230,MYB49,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.0109006787294396e-07,0.00250098358127313,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.7496323166080849,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT5G63260,AT5G63260,18,0,18,0.0,0.0,0.0080681308830121,0.0,0.0080681308830121,0,2.02453077047473e-07,0.0153893275344572,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.090637596668767,0.54320987654321,Peripheral,Proliferation Domain_Cortex
AT3G47620,TCP14,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718768421e-07,0.00154409263780285,0.000340682712795526,-0.20193775556896,3.67023853785492,133,0,-0.570788939130027,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT3G52910,GRF4,5,1,4,0.1,0.10403132460823199,0.00224114746750336,0.000448229493500672,0.00179291797400269,9,2.0118036394676398e-07,0.00122283293109226,0.000342512606163305,-0.20193775556896,3.67023853785492,134,1,-0.159779999672969,0.32,Peripheral,Proliferation Domain_Cortex
AT5G09410,EICBP.B,7,0,7,0.0,0.0,0.00313760645450471,0.0,0.00313760645450471,0,2.0145173920935897e-07,0.00250152232138416,0.000340682712795526,-0.20193775556896,3.67023853785492,15,2,-0.52190385594654,0.612244897959184,Peripheral,Proliferation Domain_Cortex
AT1G76880,AT1G76880,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,2.01270741170118e-07,0.0013072009587993,0.000340682712795526,-0.20193775556896,3.67023853785492,55,0,-0.330027691775015,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G66230,MYB20,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.0118036393358298e-07,0.0065668653666627,0.000340682712795526,-0.20193775556896,3.67023853785492,1,3,-0.667257976615671,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G52880,NAC018,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.01180363974248e-07,0.00681292154519679,0.000340682712795526,-0.20193775556896,3.67023853785492,15,3,-0.667257976615671,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G44810,AT1G44810,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067834395e-07,0.000393710450283615,0.000340682712795526,-0.20193775556896,3.67023853785492,135,1,-0.229746398526001,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G34180,anac016,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,2.0127074104234603e-07,0.00576826040331251,0.000340682712795526,-0.20193775556896,3.67023853785492,15,3,-0.667257976615671,0.32,Peripheral,Proliferation Domain_Cortex
AT1G07640,OBP2,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.01180363907782e-07,0.00517442970468961,0.000340682712795526,-0.20193775556896,3.67023853785492,18,3,-0.7496323166080849,0.375,Peripheral,Proliferation Domain_Cortex
AT4G26640,WRKY20,5,0,5,0.0,0.0,0.00224114746750336,0.0,0.00224114746750336,0,2.01270741120503e-07,0.0046856342062196,0.000340682712795526,-0.20193775556896,3.67023853785492,1,3,-0.667257976615671,0.32,Peripheral,Proliferation Domain_Cortex
AT5G65510,AIL7,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067929679e-07,0.0016232684724621302,0.000340682712795526,-0.20193775556896,3.67023853785492,136,2,-0.6411886423964821,0.444444444444445,Peripheral,Proliferation Domain_Cortex
AT5G65080,MAF5,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718780909e-07,0.0009649732990802051,0.000340682712795526,-0.20193775556896,3.67023853785492,137,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT1G52890,NAC019,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.0109006791548103e-07,0.00296508300257156,0.000340682712795526,-0.20193775556896,3.67023853785492,138,3,-0.7496323166080849,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT2G27050,EIL1,3,0,3,0.0,0.0,0.0013446884805020198,0.0,0.0013446884805020198,0,2.01090067931049e-07,0.0034053235222662897,0.000340682712795526,-0.20193775556896,3.67023853785492,3,3,-0.8320066566005,0.444444444444445,Peripheral,Proliferation Domain_Cortex
AT2G45660,SOC1,4,0,4,0.0,0.0,0.00179291797400269,0.0,0.00179291797400269,0,2.01180364041573e-07,0.00348862611277682,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.8320066566005,0.625,Connector,Proliferation Domain_Cortex
AT1G74650,ATY13,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.00999852926168e-07,0.0018795410949248,0.000340682712795526,-0.20193775556896,3.67023853785492,139,3,-0.8320066566005,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT4G28140,ERF054,2,0,2,0.0,0.0,0.000896458987001345,0.0,0.000896458987001345,0,2.00999852936197e-07,0.00101771720518453,0.000340682712795526,-0.20193775556896,3.67023853785492,140,2,-0.6411886423964821,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT5G60130,AT5G60130,6,0,6,0.0,0.0,0.00268937696100403,0.0,0.00268937696100403,0,2.01361199428719e-07,0.00724780538313267,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.5848836366232559,0.277777777777778,Peripheral,Proliferation Domain_Cortex
AT5G16770,AtMYB9,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718787232e-07,0.000844414713853725,0.000340682712795526,-0.20193775556896,3.67023853785492,141,3,-0.914380996592915,0.0,Ultra peripheral,Proliferation Domain_Cortex
AT5G02460,DOF5.1,7,0,7,0.0,0.0,0.00313760645450471,0.0,0.00313760645450471,0,2.01451739284477e-07,0.007761872632890991,0.000340682712795526,-0.20193775556896,3.67023853785492,8,3,-0.502509296630841,0.24489795918367396,Peripheral,Proliferation Domain_Cortex
AT5G58340,AT5G58340,1,0,1,0.0,0.0,0.000448229493500672,0.0,0.000448229493500672,0,2.00909718787831e-07,0.0014760023373380099,0.000340682712795526,-0.20193775556896,3.67023853785492,142,0,-0.570788939130027,0.0,Ultra peripheral,Proliferation Domain_Cortex
